Time: 2022-12-01 14:17:37.804229431 UTC, Reqestes/sec: 4867, Avg Reqestes/sec: 4764
Time: 2022-12-01 14:17:38.805292729 UTC, Reqestes/sec: 4459, Avg Reqestes/sec: 4611
Time: 2022-12-01 14:17:39.808217901 UTC, Reqestes/sec: 4634, Avg Reqestes/sec: 4622
Time: 2022-12-01 14:17:40.808337454 UTC, Reqestes/sec: 4387, Avg Reqestes/sec: 4504
Time: 2022-12-01 14:17:41.808398099 UTC, Reqestes/sec: 4304, Avg Reqestes/sec: 4404
Time: 2022-12-01 14:17:42.911098041 UTC, Reqestes/sec: 4763, Avg Reqestes/sec: 4583
Time: 2022-12-01 14:17:43.911136361 UTC, Reqestes/sec: 5082, Avg Reqestes/sec: 4832
Time: 2022-12-01 14:17:44.911163583 UTC, Reqestes/sec: 4064, Avg Reqestes/sec: 4448
Time: 2022-12-01 14:17:45.911271081 UTC, Reqestes/sec: 4225, Avg Reqestes/sec: 4336
Time: 2022-12-01 14:17:46.911395601 UTC, Reqestes/sec: 4109, Avg Reqestes/sec: 4222
Time: 2022-12-01 14:17:47.911435518 UTC, Reqestes/sec: 5008, Avg Reqestes/sec: 4615
Time: 2022-12-01 14:17:49.070336446 UTC, Reqestes/sec: 4508, Avg Reqestes/sec: 4561
Time: 2022-12-01 14:17:50.146941764 UTC, Reqestes/sec: 4874, Avg Reqestes/sec: 4717
Time: 2022-12-01 14:17:51.147331775 UTC, Reqestes/sec: 4888, Avg Reqestes/sec: 4802
Server down at time: 2022-12-01 14:17:51.176893116 UTC
Time: 2022-12-01 14:18:01.176971313 UTC, Reqestes/sec: 131, Avg Reqestes/sec: 2466
Time: 2022-12-01 14:18:02.177057362 UTC, Reqestes/sec: 4496, Avg Reqestes/sec: 3481
Time: 2022-12-01 14:18:03.177338554 UTC, Reqestes/sec: 5353, Avg Reqestes/sec: 4417
Time: 2022-12-01 14:18:04.177357504 UTC, Reqestes/sec: 4050, Avg Reqestes/sec: 4233
Time: 2022-12-01 14:18:05.192668590 UTC, Reqestes/sec: 4274, Avg Reqestes/sec: 4253
Time: 2022-12-01 14:18:06.192770965 UTC, Reqestes/sec: 4733, Avg Reqestes/sec: 4493
Time: 2022-12-01 14:18:07.192857484 UTC, Reqestes/sec: 3941, Avg Reqestes/sec: 4217
Time: 2022-12-01 14:18:08.193068714 UTC, Reqestes/sec: 3862, Avg Reqestes/sec: 4039
Time: 2022-12-01 14:18:09.193074105 UTC, Reqestes/sec: 3955, Avg Reqestes/sec: 3997
Time: 2022-12-01 14:18:10.193316861 UTC, Reqestes/sec: 3891, Avg Reqestes/sec: 3944
Time: 2022-12-01 14:18:11.193364837 UTC, Reqestes/sec: 3876, Avg Reqestes/sec: 3910
Time: 2022-12-01 14:18:12.193542713 UTC, Reqestes/sec: 3867, Avg Reqestes/sec: 3888
Time: 2022-12-01 14:18:13.193745373 UTC, Reqestes/sec: 3908, Avg Reqestes/sec: 3898
Time: 2022-12-01 14:18:14.193944084 UTC, Reqestes/sec: 3934, Avg Reqestes/sec: 3916
Time: 2022-12-01 14:18:15.194191934 UTC, Reqestes/sec: 4046, Avg Reqestes/sec: 3981
Time: 2022-12-01 14:18:16.194294455 UTC, Reqestes/sec: 5291, Avg Reqestes/sec: 4636
Time: 2022-12-01 14:18:17.194361326 UTC, Reqestes/sec: 6726, Avg Reqestes/sec: 5681
Time: 2022-12-01 14:18:52.538751608 UTC, Reqestes/sec: 4922, Avg Reqestes/sec: 5301
2-01 14:16:13.111228684 UTC, Reqestes/sec: 4355, Avg Reqestes/sec: 4625
Server down at time: 2022-12-01 14:16:13.857882821 UTC
Time: 2022-12-01 14:16:23.857966999 UTC, Reqestes/sec: 3482, Avg Reqestes/sec: 4053
Time: 2022-12-01 14:16:24.858099191 UTC, Reqestes/sec: 4715, Avg Reqestes/sec: 4384
Time: 2022-12-01 14:16:25.858228628 UTC, Reqestes/sec: 4488, Avg Reqestes/sec: 4436
Time: 2022-12-01 14:16:26.858365280 UTC, Reqestes/sec: 4922, Avg Reqestes/sec: 4679
Time: 2022-12-01 14:16:27.858380998 UTC, Reqestes/sec: 4560, Avg Reqestes/sec: 4619
Time: 2022-12-01 14:16:28.858547946 UTC, Reqestes/sec: 4450, Avg Reqestes/sec: 4534
Time: 2022-12-01 14:16:29.858607063 UTC, Reqestes/sec: 4711, Avg Reqestes/sec: 4622
Time: 2022-12-01 14:16:30.858661425 UTC, Reqestes/sec: 4555, Avg Reqestes/sec: 4588
Time: 2022-12-01 14:16:31.858673846 UTC, Reqestes/sec: 4554, Avg Reqestes/sec: 4571
Time: 2022-12-01 14:16:32.858713949 UTC, Reqestes/sec: 5161, Avg Reqestes/sec: 4866
Time: 2022-12-01 14:16:33.858864537 UTC, Reqestes/sec: 4797, Avg Reqestes/sec: 4831
Time: 2022-12-01 14:16:34.859353430 UTC, Reqestes/sec: 4290, Avg Reqestes/sec: 4560
Time: 2022-12-01 14:16:35.859480526 UTC, Reqestes/sec: 4729, Avg Reqestes/sec: 4644
Time: 2022-12-01 14:16:36.859532195 UTC, Reqestes/sec: 4581, Avg Reqestes/sec: 4612
Time: 2022-12-01 14:16:37.859617320 UTC, Reqestes/sec: 5057, Avg Reqestes/sec: 4834
Time: 2022-12-01 14:16:38.859711775 UTC, Reqestes/sec: 4502, Avg Reqestes/sec: 4668
Time: 2022-12-01 14:16:39.859853296 UTC, Reqestes/sec: 4487, Avg Reqestes/sec: 4577
Time: 2022-12-01 14:16:40.877838694 UTC, Reqestes/sec: 5232, Avg Reqestes/sec: 4904
Time: 2022-12-01 14:16:41.878029652 UTC, Reqestes/sec: 4081, Avg Reqestes/sec: 4492
Time: 2022-12-01 14:16:42.879337646 UTC, Reqestes/sec: 4150, Avg Reqestes/sec: 4321
Time: 2022-12-01 14:16:43.879470123 UTC, Reqestes/sec: 4438, Avg Reqestes/sec: 4379
Time: 2022-12-01 14:16:44.879678669 UTC, Reqestes/sec: 4185, Avg Reqestes/sec: 4282
Time: 2022-12-01 14:16:45.908915778 UTC, Reqestes/sec: 4281, Avg Reqestes/sec: 4281
Time: 2022-12-01 14:16:46.961616134 UTC, Reqestes/sec: 4392, Avg Reqestes/sec: 4336
