Time: 2022-12-01 13:53:13.213436564 UTC, Reqestes/sec: 5883, Avg Reqestes/sec: 6001
Time: 2022-12-01 13:53:14.213549170 UTC, Reqestes/sec: 6613, Avg Reqestes/sec: 6307
Time: 2022-12-01 13:53:15.213583355 UTC, Reqestes/sec: 5652, Avg Reqestes/sec: 5979
Time: 2022-12-01 13:53:16.213676928 UTC, Reqestes/sec: 6542, Avg Reqestes/sec: 6260
Time: 2022-12-01 13:53:17.213762518 UTC, Reqestes/sec: 6149, Avg Reqestes/sec: 6204
Time: 2022-12-01 13:53:18.304735392 UTC, Reqestes/sec: 3897, Avg Reqestes/sec: 5050
Time: 2022-12-01 13:53:19.339833896 UTC, Reqestes/sec: 3971, Avg Reqestes/sec: 4510
Time: 2022-12-01 13:53:20.339882688 UTC, Reqestes/sec: 4239, Avg Reqestes/sec: 4374
Time: 2022-12-01 13:53:21.389142143 UTC, Reqestes/sec: 4191, Avg Reqestes/sec: 4282
Time: 2022-12-01 13:53:22.389328695 UTC, Reqestes/sec: 4043, Avg Reqestes/sec: 4162
Time: 2022-12-01 13:53:23.389441443 UTC, Reqestes/sec: 5129, Avg Reqestes/sec: 4645
Server down at time: 2022-12-01 13:53:24.320586769 UTC
Time: 2022-12-01 13:53:34.320890443 UTC, Reqestes/sec: 3896, Avg Reqestes/sec: 4270
Time: 2022-12-01 13:53:48.321672346 UTC, Reqestes/sec: 3, Avg Reqestes/sec: 2136
Time: 2022-12-01 13:54:21.064817208 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 1068
Time: 2022-12-01 13:54:31.066029657 UTC, Reqestes/sec: 1, Avg Reqestes/sec: 534
Server down at time: 2022-12-01 13:54:31.066661596 UTC
Time: 2022-12-01 13:54:41.066876519 UTC, Reqestes/sec: 0, Avg Reqestes/sec: 267
sec: 4216, Avg Reqestes/sec: 3649
Time: 2022-12-01 13:51:41.381402640 UTC, Reqestes/sec: 4098, Avg Reqestes/sec: 3873
Time: 2022-12-01 13:51:42.381513832 UTC, Reqestes/sec: 4293, Avg Reqestes/sec: 4083
Time: 2022-12-01 13:51:43.381642497 UTC, Reqestes/sec: 4169, Avg Reqestes/sec: 4126
Time: 2022-12-01 13:51:44.381778272 UTC, Reqestes/sec: 4265, Avg Reqestes/sec: 4195
Time: 2022-12-01 13:51:45.471672483 UTC, Reqestes/sec: 5221, Avg Reqestes/sec: 4708
Time: 2022-12-01 13:51:46.471960336 UTC, Reqestes/sec: 5410, Avg Reqestes/sec: 5059
Time: 2022-12-01 13:51:47.471991567 UTC, Reqestes/sec: 4501, Avg Reqestes/sec: 4780
Time: 2022-12-01 13:51:48.495435143 UTC, Reqestes/sec: 5010, Avg Reqestes/sec: 4895
Time: 2022-12-01 13:51:49.495634703 UTC, Reqestes/sec: 5158, Avg Reqestes/sec: 5026
Time: 2022-12-01 13:51:50.495766200 UTC, Reqestes/sec: 5106, Avg Reqestes/sec: 5066
Time: 2022-12-01 13:51:51.495881609 UTC, Reqestes/sec: 4715, Avg Reqestes/sec: 4890
Time: 2022-12-01 13:51:52.495974199 UTC, Reqestes/sec: 4992, Avg Reqestes/sec: 4941
Time: 2022-12-01 13:51:53.497948553 UTC, Reqestes/sec: 4462, Avg Reqestes/sec: 4701
Time: 2022-12-01 13:51:54.497966807 UTC, Reqestes/sec: 4445, Avg Reqestes/sec: 4573
Time: 2022-12-01 13:51:55.497984903 UTC, Reqestes/sec: 4795, Avg Reqestes/sec: 4684
Time: 2022-12-01 13:51:56.498092503 UTC, Reqestes/sec: 4295, Avg Reqestes/sec: 4489
Time: 2022-12-01 13:51:57.498187566 UTC, Reqestes/sec: 4495, Avg Reqestes/sec: 4492
Time: 2022-12-01 13:51:58.498198581 UTC, Reqestes/sec: 4704, Avg Reqestes/sec: 4598
Time: 2022-12-01 13:51:59.498231234 UTC, Reqestes/sec: 4752, Avg Reqestes/sec: 4675
Time: 2022-12-01 13:52:00.498390883 UTC, Reqestes/sec: 4956, Avg Reqestes/sec: 4815
Time: 2022-12-01 13:52:01.498535236 UTC, Reqestes/sec: 4219, Avg Reqestes/sec: 4517
Time: 2022-12-01 13:52:02.498606725 UTC, Reqestes/sec: 4056, Avg Reqestes/sec: 4286
Time: 2022-12-01 13:52:03.498620821 UTC, Reqestes/sec: 4179, Avg Reqestes/sec: 4232
Time: 2022-12-01 13:52:04.498755276 UTC, Reqestes/sec: 4111, Avg Reqestes/sec: 4171
Time: 2022-12-01 13:52:05.498907666 UTC, Reqestes/sec: 4092, Avg Reqestes/sec: 4131
Time: 2022-12-01 13:52:06.499017246 UTC, Reqestes/sec: 4142, Avg Reqestes/sec: 4136
Time: 2022-12-01 13:52:07.499036098 UTC, Reqestes/sec: 4125, Avg Reqestes/sec: 4130
Time: 2022-12-01 13:52:08.499051745 UTC, Reqestes/sec: 4107, Avg Reqestes/sec: 4118
Time: 2022-12-01 13:52:09.499218410 UTC, Reqestes/sec: 4032, Avg Reqestes/sec: 4075
Time: 2022-12-01 13:52:10.499434620 UTC, Reqestes/sec: 4048, Avg Reqestes/sec: 4061
Time: 2022-12-01 13:52:11.499619754 UTC, Reqestes/sec: 4346, Avg Reqestes/sec: 4203
Time: 2022-12-01 13:52:12.499655239 UTC, Reqestes/sec: 4646, Avg Reqestes/sec: 4424
Time: 2022-12-01 13:52:13.533276538 UTC, Reqestes/sec: 4068, Avg Reqestes/sec: 4246
Server down at time: 2022-12-01 13:52:14.318727441 UTC
Time: 2022-12-01 13:52:24.318808036 UTC, Reqestes/sec: 3581, Avg Reqestes/sec: 3913
Time: 2022-12-01 13:52:25.410038665 UTC, Reqestes/sec: 5046, Avg Reqestes/sec: 4479
Time: 2022-12-01 13:52:26.426709119 UTC, Reqestes/sec: 4644, Avg Reqestes/sec: 4561
Time: 2022-12-01 13:52:27.427679866 UTC, Reqestes/sec: 4974, Avg Reqestes/sec: 4767
Time: 2022-12-01 13:52:28.427787350 UTC, Reqestes/sec: 4050, Avg Reqestes/sec: 4408
Time: 2022-12-01 13:52:29.427863160 UTC, Reqestes/sec: 4686, Avg Reqestes/sec: 4547
Time: 2022-12-01 13:52:30.431508265 UTC, Reqestes/sec: 4864, Avg Reqestes/sec: 4705
Time: 2022-12-01 13:52:31.431590999 UTC, Reqestes/sec: 4308, Avg Reqestes/sec: 4506
Time: 2022-12-01 13:52:32.431661499 UTC, Reqestes/sec: 4266, Avg Reqestes/sec: 4386
Time: 2022-12-01 13:52:33.431804445 UTC, Reqestes/sec: 3890, Avg Reqestes/sec: 4138
Time: 2022-12-01 13:52:34.432036552 UTC, Reqestes/sec: 3945, Avg Reqestes/sec: 4041
Time: 2022-12-01 13:52:35.432067266 UTC, Reqestes/sec: 4900, Avg Reqestes/sec: 4470
Time: 2022-12-01 13:52:36.433215094 UTC, Reqestes/sec: 4321, Avg Reqestes/sec: 4395
Time: 2022-12-01 13:52:37.433423386 UTC, Reqestes/sec: 3685, Avg Reqestes/sec: 4040
Time: 2022-12-01 13:52:38.433554400 UTC, Reqestes/sec: 3997, Avg Reqestes/sec: 4018
Time: 2022-12-01 13:52:39.433623659 UTC, Reqestes/sec: 4272, Avg Reqestes/sec: 4145
Time: 2022-12-01 13:52:40.442116664 UTC, Reqestes/sec: 4250, Avg Reqestes/sec: 4197
Time: 2022-12-01 13:52:41.442156933 UTC, Reqestes/sec: 3874, Avg Reqestes/sec: 4035
Time: 2022-12-01 13:52:42.442179106 UTC, Reqestes/sec: 3845, Avg Reqestes/sec: 3940
Time: 2022-12-01 13:52:43.442297080 UTC, Reqestes/sec: 4101, Avg Reqestes/sec: 4020
Time: 2022-12-01 13:52:44.442386916 UTC, Reqestes/sec: 4865, Avg Reqestes/sec: 4442
Time: 2022-12-01 13:52:45.442470239 UTC, Reqestes/sec: 4020, Avg Reqestes/sec: 4231
Time: 2022-12-01 13:52:46.442565945 UTC, Reqestes/sec: 4051, Avg Reqestes/sec: 4141
Time: 2022-12-01 13:52:47.466767019 UTC, Reqestes/sec: 4048, Avg Reqestes/sec: 4094
Time: 2022-12-01 13:52:48.466850354 UTC, Reqestes/sec: 3822, Avg Reqestes/sec: 3958
Time: 2022-12-01 13:52:49.466880052 UTC, Reqestes/sec: 3844, Avg Reqestes/sec: 3901
Time: 2022-12-01 13:52:50.466918301 UTC, Reqestes/sec: 4014, Avg Reqestes/sec: 3957
Time: 2022-12-01 13:52:51.467080690 UTC, Reqestes/sec: 4197, Avg Reqestes/sec: 4077
Time: 2022-12-01 13:52:52.467172649 UTC, Reqestes/sec: 3881, Avg Reqestes/sec: 3979
Time: 2022-12-01 13:52:53.475313986 UTC, Reqestes/sec: 4170, Avg Reqestes/sec: 4074
Time: 2022-12-01 13:52:54.649514660 UTC, Reqestes/sec: 4624, Avg Reqestes/sec: 4349
